Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Entrada Material Sucio;2022-01-01 07:00:00;2022-01-01 07:00:00;2022-01-01 07:21:29;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Cargado en carro L+D;2022-01-01 07:21:29;2022-01-01 07:21:29;2022-01-01 07:35:07;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Carga L+D iniciada;2022-01-01 07:35:07;2022-01-01 07:35:07;2022-01-01 07:40:43;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-01-01 07:40:43;2022-01-01 07:40:43;2022-01-01 08:40:43;Lavadora_#2;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Carga L+D liberada;2022-01-01 08:40:43;2022-01-01 08:55:55;2022-01-01 09:26:01;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;Montaje;2022-01-01 09:26:01;2022-01-01 09:39:50;2022-01-01 09:40:11;Usuario_AV;;;;
1;Producción montada;2022-01-01 09:40:11;2022-01-01 09:51:51;2022-01-01 10:11:19;Usuario_AV;1;produccion-montada-id;PARALLEL;
1;Composición de cargas;2022-01-01 10:11:19;2022-01-01 10:24:40;2022-01-01 10:30:16;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;PRIONES;2022-01-01 10:30:16;2022-01-01 10:30:16;2022-01-01 11:38:58;Autoclave_#1;1;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
1;Carga de esterilizador liberada;2022-01-01 11:38:58;2022-01-01 12:10:27;2022-01-01 12:14:51;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Entrada Material Sucio;2022-01-01 07:59:35;2022-01-01 07:59:35;2022-01-01 08:05:56;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Cargado en carro L+D;2022-01-01 08:05:56;2022-01-01 08:05:56;2022-01-01 08:05:56;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Carga L+D iniciada;2022-01-01 08:05:56;2022-01-01 08:05:56;2022-01-01 08:08:01;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Priones;2022-01-01 08:08:01;2022-01-01 08:08:01;2022-01-01 09:08:01;Lavadora_#0;1;sid-08999B8E-F8FB-442F-AB30-4234EB32CAD0;PARALLEL;
2;Carga L+D liberada;2022-01-01 09:08:01;2022-01-01 09:37:18;2022-01-01 09:39:50;Usuario_AV;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;Montaje;2022-01-01 09:39:50;2022-01-01 09:51:51;2022-01-01 09:51:51;Usuario_AV;;;;
2;Producción montada;2022-01-01 09:51:51;2022-01-01 10:11:19;2022-01-01 10:11:19;Usuario_AV;2;produccion-montada-id;PARALLEL;
2;Composición de cargas;2022-01-01 10:11:19;2022-01-01 10:24:40;2022-01-01 10:30:16;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
2;INTRUM;2022-01-01 10:30:16;2022-01-01 10:30:16;2022-01-01 11:38:58;Autoclave_#0;1;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
2;Carga de esterilizador liberada;2022-01-01 11:38:58;2022-01-01 12:10:27;2022-01-01 12:14:51;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
3;Entrada Material Sucio;2022-01-01 08:36:52;2022-01-01 08:36:52;2022-01-01 08:55:55;Usuario_AV;3;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
3;Cargado en carro L+D;2022-01-01 08:55:55;2022-01-01 09:26:01;2022-01-01 09:37:18;Usuario_AV;3;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
3;Carga L+D iniciada;2022-01-01 09:37:18;2022-01-01 09:46:49;2022-01-01 09:51:51;Usuario_AV;3;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
3;Instrumental normal;2022-01-01 09:51:51;2022-01-01 09:51:51;2022-01-01 10:51:51;Lavadora_#1;2;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
3;Carga L+D liberada;2022-01-01 10:51:51;2022-01-01 10:51:51;2022-01-01 11:17:30;Usuario_AV;3;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
