Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Entrada Material Sucio;2022-03-21 07:00:00;2022-03-21 07:00:00;2022-03-21 07:09:15;Usuario_CLE;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Cargado en carro L+D;2022-03-21 07:09:15;2022-03-21 07:15:32;2022-03-21 07:20:32;Usuario_CLE;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Carga L+D iniciada;2022-03-21 07:20:32;2022-03-21 07:22:11;2022-03-21 07:29:50;Usuario_CLE;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-03-21 07:29:50;2022-03-21 07:29:50;2022-03-21 08:29:50;Lavadora_<enter name>;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Carga L+D liberada;2022-03-21 08:29:50;2022-03-21 08:35:03;2022-03-21 08:45:47;Usuario_CLE;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;assemply;2022-03-21 08:45:47;2022-03-21 08:50:41;2022-03-21 08:50:41;Usuario_EH;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
1;Montaje;2022-03-21 08:50:41;2022-03-21 08:50:41;2022-03-21 08:50:41;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-21 08:45:47
1;Producción montada;2022-03-21 08:50:41;2022-03-21 08:50:41;2022-03-21 08:50:41;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-21 08:50:41
1;Composición de cargas;2022-03-21 08:50:41;2022-03-21 08:57:21;2022-03-21 09:05:00;Usuario_EH;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;PRIONES;2022-03-21 09:05:00;2022-03-21 09:05:00;2022-03-21 10:14:35;Autoclave_<enter name>;1;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
1;Carga de esterilizador liberada;2022-03-21 10:14:35;2022-03-21 10:16:23;2022-03-21 10:17:38;Usuario_CM;2;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Entrada Material Sucio;2022-03-21 07:06:04;2022-03-21 07:06:04;2022-04-10 22:32:09;Usuario_BM;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Cargado en carro L+D;2022-04-10 22:32:09;2022-04-10 22:32:09;2022-04-10 22:40:09;Usuario_BM;418;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Carga L+D iniciada;2022-04-10 22:40:09;2022-04-10 22:40:09;2022-04-10 22:46:58;Usuario_BM;398;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Instrumental normal;2022-04-10 22:46:58;2022-04-10 22:46:58;2022-04-10 23:46:58;Lavadora_<enter name>;181;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
2;Carga L+D liberada;2022-04-10 23:46:58;2022-04-10 23:46:58;2022-04-17 21:00:53;Usuario_BM;222;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;assemply;2022-04-17 21:00:53;2022-04-17 21:00:53;2022-04-17 21:00:53;Usuario_BM;220;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
2;Montaje;2022-04-17 21:00:53;2022-04-17 21:00:53;2022-04-17 21:00:53;;220;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-04-17 21:00:53
2;Producción montada;2022-04-17 21:00:53;2022-04-17 21:00:53;2022-04-17 21:00:53;;220;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-04-17 21:00:53
2;Composición de cargas;2022-04-17 21:00:53;2022-04-17 21:00:53;2022-04-17 21:01:15;Usuario_BM;221;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
2;CONTENE;2022-04-17 21:01:15;2022-04-17 21:01:15;2022-04-17 22:14:42;Autoclave_A3;71;sid-7431B6F2-819F-4562-9FB3-1EFE00367CD6;PARALLEL;
2;Carga de esterilizador liberada;2022-04-17 22:14:42;2022-04-17 22:14:42;2022-04-17 22:19:50;Usuario_BM;233;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
3;Entrada Material Sucio;2022-03-21 07:07:37;2022-03-21 07:09:15;2022-03-21 07:15:32;Usuario_CLE;3;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
3;Cargado en carro L+D;2022-03-21 07:15:32;2022-03-21 07:22:11;2022-03-21 07:30:11;Usuario_CLE;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
3;Carga L+D iniciada;2022-03-21 07:30:11;2022-03-21 07:42:18;2022-03-21 07:43:11;Usuario_CLE;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
3;Instrumental normal;2022-03-21 07:43:11;2022-03-21 07:43:11;2022-03-21 08:43:11;Lavadora_L2;2;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
3;Carga L+D liberada;2022-03-21 08:43:11;2022-03-21 08:43:51;2022-03-21 09:14:04;Usuario_DF;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
3;assemply;2022-03-21 09:14:04;2022-03-21 09:14:04;2022-03-21 09:14:04;Usuario_DF;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
3;Montaje;2022-03-21 09:14:04;2022-03-21 09:14:04;2022-03-21 09:14:04;;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-21 09:14:04
3;Producción montada;2022-03-21 09:14:04;2022-03-21 09:14:04;2022-03-21 09:14:04;;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-21 09:14:04
3;Composición de cargas;2022-03-21 09:14:04;2022-03-21 09:14:04;2022-03-21 09:19:34;Usuario_DF;3;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
3;No Lumen;2022-03-21 09:19:34;2022-03-21 09:19:34;2022-03-21 09:59:34;VPro_Unnamed;1;sid-F03F8225-9329-4ACA-B8EF-063069770E29;PARALLEL;
3;Carga de esterilizador liberada;2022-03-21 09:59:34;2022-03-21 10:00:00;2022-03-21 10:05:46;Usuario_ER;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
4;Entrada Material Sucio;2022-03-21 07:12:15;2022-03-21 07:20:32;2022-03-21 07:22:11;Usuario_CLE;4;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
4;Cargado en carro L+D;2022-03-21 07:22:11;2022-03-21 07:29:50;2022-03-21 07:43:50;Usuario_CLE;3;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
4;Carga L+D iniciada;2022-03-21 07:43:50;2022-03-21 07:54:50;2022-03-21 08:00:20;Usuario_CLE;3;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
4;Instrumental normal;2022-03-21 08:00:20;2022-03-21 08:00:20;2022-03-21 09:00:20;Lavadora_L1;3;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
4;Carga L+D liberada;2022-03-21 09:00:20;2022-03-21 09:05:00;2022-03-21 09:12:17;Usuario_EH;3;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
4;assemply;2022-03-21 09:12:17;2022-03-21 09:12:17;2022-03-21 09:12:17;Usuario_EH;2;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
