Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Entrada Material Sucio;2022-01-01 07:00:00;2022-01-01 07:00:00;2022-01-01 07:21:29;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Cargado en carro L+D;2022-01-01 07:21:29;2022-01-01 07:21:29;2022-01-01 07:35:07;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Carga L+D iniciada;2022-01-01 07:35:07;2022-01-01 07:35:07;2022-01-01 07:40:43;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-01-01 07:40:43;2022-01-01 07:40:43;2022-01-01 08:50:43;Lavadora_#2;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Carga L+D liberada;2022-01-01 08:50:43;2022-01-01 08:50:43;2022-01-01 09:20:49;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;Montaje;2022-01-01 09:20:49;2022-01-01 09:39:52;2022-01-01 09:40:13;Usuario_AV;;;;
1;Producción montada;2022-01-01 09:40:13;2022-01-01 09:42:24;2022-01-01 10:22:57;Usuario_AV;1;produccion-montada-id;PARALLEL;
1;Composición de cargas;2022-01-01 10:22:57;2022-01-01 10:22:57;2022-01-01 10:27:59;Usuario_AV;3;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;PRIONES;2022-01-01 10:27:59;2022-01-01 10:27:59;2022-01-01 12:12:59;Autoclave_#1;2;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
1;Carga de esterilizador liberada;2022-01-01 12:12:59;2022-01-01 12:58:30;2022-01-01 13:02:31;Usuario_AV;3;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Entrada Material Sucio;2022-01-01 08:18:00;2022-01-01 08:18:00;2022-01-01 08:24:21;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Cargado en carro L+D;2022-01-01 08:24:21;2022-01-01 08:24:21;2022-01-01 08:24:21;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Carga L+D iniciada;2022-01-01 08:24:21;2022-01-01 08:24:21;2022-01-01 08:26:26;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Priones;2022-01-01 08:26:26;2022-01-01 08:26:26;2022-01-01 09:26:26;Lavadora_#3;1;sid-08999B8E-F8FB-442F-AB30-4234EB32CAD0;PARALLEL;
2;Carga L+D liberada;2022-01-01 09:26:26;2022-01-01 09:39:52;2022-01-01 09:42:24;Usuario_AV;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;Montaje;2022-01-01 09:42:24;2022-01-01 09:42:24;2022-01-01 09:42:24;Usuario_AV;;;;
2;Producción montada;2022-01-01 09:42:24;2022-01-01 09:46:30;2022-01-01 09:46:30;Usuario_AV;2;produccion-montada-id;PARALLEL;
2;Composición de cargas;2022-01-01 09:46:30;2022-01-01 09:47:41;2022-01-01 09:53:17;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
2;PRIONES;2022-01-01 09:53:17;2022-01-01 09:53:17;2022-01-01 11:38:17;Autoclave_#2;1;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
2;Carga de esterilizador liberada;2022-01-01 11:38:17;2022-01-01 11:41:38;2022-01-01 11:46:02;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
3;Entrada Material Sucio;2022-01-01 08:18:00;2022-01-01 08:18:00;2022-01-01 08:24:21;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
3;Cargado en carro L+D;2022-01-01 08:24:21;2022-01-01 08:24:21;2022-01-01 08:24:21;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
3;Carga L+D iniciada;2022-01-01 08:24:21;2022-01-01 08:24:21;2022-01-01 08:26:26;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
3;Instrumental normal;2022-01-01 08:26:26;2022-01-01 08:26:26;2022-01-01 09:36:26;Lavadora_#0;2;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
3;Carga L+D liberada;2022-01-01 09:36:26;2022-01-01 09:39:52;2022-01-01 09:42:24;Usuario_AV;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
