Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Entrada Material Sucio;2022-03-25 23:00:00;2022-03-26 07:00:00;2022-03-26 07:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Cargado en carro L+D;2022-03-26 07:21:07;2022-03-26 07:21:07;2022-03-26 07:30:38;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Carga L+D iniciada;2022-03-26 07:30:38;2022-03-26 07:30:38;2022-03-26 07:31:31;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-03-26 07:31:31;2022-03-26 07:31:31;2022-03-26 08:31:31;Lavadora_#1;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Carga L+D liberada;2022-03-26 08:31:31;2022-03-26 08:44:23;2022-03-26 08:57:34;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;assemply;2022-03-26 08:57:34;2022-03-26 08:57:34;2022-03-26 08:57:34;Usuario_AV;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
1;Montaje;2022-03-26 08:57:34;2022-03-26 08:57:34;2022-03-26 08:57:34;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 08:57:34
1;Producción montada;2022-03-26 08:57:34;2022-03-26 08:57:34;2022-03-26 08:57:34;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 08:57:34
1;Composición de cargas;2022-03-26 08:57:34;2022-03-26 08:57:34;2022-03-26 09:05:13;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;INTRUM;2022-03-26 09:05:13;2022-03-26 09:05:13;2022-03-26 10:14:48;Autoclave_#3;1;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
1;Carga de esterilizador liberada;2022-03-26 10:14:48;2022-03-26 10:26:54;2022-03-26 10:28:09;Usuario_AV;2;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Entrada Material Sucio;2022-03-26 00:12:29;2022-03-26 07:00:00;2022-03-26 07:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Cargado en carro L+D;2022-03-26 07:21:07;2022-03-26 07:21:07;2022-03-26 07:30:38;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Carga L+D iniciada;2022-03-26 07:30:38;2022-03-26 07:30:38;2022-03-26 07:31:31;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Instrumental normal;2022-03-26 07:31:31;2022-03-26 07:31:31;2022-03-26 08:31:31;Lavadora_#1;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
2;Carga L+D liberada;2022-03-26 08:31:31;2022-03-26 08:44:23;2022-03-26 08:57:34;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;assemply;2022-03-26 08:57:34;2022-03-26 08:57:34;2022-03-26 08:57:34;Usuario_AV;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
2;Montaje;2022-03-26 08:57:34;2022-03-26 08:57:34;2022-03-26 08:57:34;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 08:57:34
2;Producción montada;2022-03-26 08:57:34;2022-03-26 08:57:34;2022-03-26 08:57:34;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 08:57:34
2;Composición de cargas;2022-03-26 08:57:34;2022-03-26 08:57:34;2022-03-26 09:05:13;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
