Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Scan Entered Kit;2022-01-01 07:00:00;2022-01-01 07:00:00;2022-01-01 07:21:29;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Put on Rack;2022-01-01 07:21:29;2022-01-01 07:27:50;2022-01-01 07:41:28;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Assign Washing Machine;2022-01-01 07:41:28;2022-01-01 07:41:28;2022-01-01 07:43:33;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-01-01 07:43:33;2022-01-01 07:43:33;2022-01-01 08:53:33;Lavadora_#3;2;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Free Washing Machine;2022-01-01 08:53:33;2022-01-01 08:54:14;2022-01-01 08:56:46;Usuario_AV;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;Assembly;2022-01-01 08:56:46;2022-01-01 09:00:28;2022-01-01 09:41:01;Usuario_AV;;;;
1;Assign Sterilization Machine;2022-01-01 09:41:01;2022-01-01 09:41:01;2022-01-01 09:44:03;Usuario_AV;7;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;CONTENE;2022-01-01 09:44:03;2022-01-01 10:44:17;2022-01-01 12:24:17;Autoclave_#2;1;sid-7431B6F2-819F-4562-9FB3-1EFE00367CD6;PARALLEL;
1;Free Sterilization Machine;2022-01-01 12:24:17;2022-01-01 12:24:17;2022-01-01 12:27:05;Usuario_AV;5;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Scan Entered Kit;2022-01-01 07:07:53;2022-01-01 07:21:29;2022-01-01 07:27:50;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Put on Rack;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:27:50;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Assign Washing Machine;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:33:26;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Instrumental normal;2022-01-01 07:33:26;2022-01-01 07:33:26;2022-01-01 08:43:26;Lavadora_#0;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
2;Free Washing Machine;2022-01-01 08:43:26;2022-01-01 08:43:59;2022-01-01 09:14:05;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;Assembly;2022-01-01 09:14:05;2022-01-01 09:14:05;2022-01-01 09:14:05;Usuario_AV;;;;
2;Assign Sterilization Machine;2022-01-01 09:14:05;2022-01-01 09:14:05;2022-01-01 09:19:41;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
2;PRIONES;2022-01-01 09:19:41;2022-01-01 09:19:41;2022-01-01 11:04:41;Autoclave_#1;1;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
2;Free Sterilization Machine;2022-01-01 11:04:41;2022-01-01 11:13:52;2022-01-01 11:15:55;Usuario_AV;2;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
3;Scan Entered Kit;2022-01-01 07:07:53;2022-01-01 07:21:29;2022-01-01 07:27:50;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
3;Put on Rack;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:27:50;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
3;Assign Washing Machine;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:33:26;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
3;Instrumental normal;2022-01-01 07:33:26;2022-01-01 07:33:26;2022-01-01 08:43:26;Lavadora_#0;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
3;Free Washing Machine;2022-01-01 08:43:26;2022-01-01 08:43:59;2022-01-01 09:14:05;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
3;Assembly;2022-01-01 09:14:05;2022-01-01 09:14:05;2022-01-01 09:47:28;Usuario_AV;;;;
3;Assign Sterilization Machine;2022-01-01 09:47:28;2022-01-01 09:47:28;2022-01-01 09:53:40;Usuario_AV;8;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
3;INTRUM;2022-01-01 09:53:40;2022-01-01 10:39:41;2022-01-01 11:59:41;Autoclave_#0;3;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
3;Free Sterilization Machine;2022-01-01 11:59:41;2022-01-01 11:59:41;2022-01-01 12:01:47;Usuario_AV;4;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
4;Scan Entered Kit;2022-01-01 07:14:15;2022-01-01 07:21:29;2022-01-01 07:27:50;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
4;Put on Rack;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:27:50;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
4;Assign Washing Machine;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:33:26;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
4;Instrumental normal;2022-01-01 07:33:26;2022-01-01 07:33:26;2022-01-01 08:43:26;Lavadora_#0;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
4;Free Washing Machine;2022-01-01 08:43:26;2022-01-01 08:43:59;2022-01-01 09:14:05;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
4;Assembly;2022-01-01 09:14:05;2022-01-01 09:14:05;2022-01-01 09:14:05;Usuario_AV;;;;
4;Assign Sterilization Machine;2022-01-01 09:14:05;2022-01-01 09:14:05;2022-01-01 09:19:41;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
4;INTRUM;2022-01-01 09:19:41;2022-01-01 09:19:41;2022-01-01 10:39:41;Autoclave_#0;1;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
4;Free Sterilization Machine;2022-01-01 10:39:41;2022-01-01 10:48:57;2022-01-01 10:53:21;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
5;Scan Entered Kit;2022-01-01 07:14:15;2022-01-01 07:21:29;2022-01-01 07:27:50;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
5;Put on Rack;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:27:50;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
5;Assign Washing Machine;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:33:26;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
5;Instrumental normal;2022-01-01 07:33:26;2022-01-01 07:33:26;2022-01-01 08:43:26;Lavadora_#0;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
5;Free Washing Machine;2022-01-01 08:43:26;2022-01-01 08:43:59;2022-01-01 09:14:05;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
5;Assembly;2022-01-01 09:14:05;2022-01-01 09:14:05;2022-01-01 09:24:25;Usuario_AV;;;;
5;Assign Sterilization Machine;2022-01-01 09:24:25;2022-01-01 09:24:25;2022-01-01 09:27:38;Usuario_AV;5;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
5;INTRUM;2022-01-01 09:27:38;2022-01-01 10:39:41;2022-01-01 11:59:41;Autoclave_#0;3;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
5;Free Sterilization Machine;2022-01-01 11:59:41;2022-01-01 11:59:41;2022-01-01 12:01:47;Usuario_AV;4;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
6;Scan Entered Kit;2022-01-01 07:15:45;2022-01-01 07:21:29;2022-01-01 07:27:50;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
6;Put on Rack;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:27:50;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
6;Assign Washing Machine;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:33:26;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
6;Instrumental normal;2022-01-01 07:33:26;2022-01-01 07:33:26;2022-01-01 08:43:26;Lavadora_#0;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
6;Free Washing Machine;2022-01-01 08:43:26;2022-01-01 08:43:59;2022-01-01 09:14:05;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
6;Assembly;2022-01-01 09:14:05;2022-01-01 09:14:05;2022-01-01 09:36:00;Usuario_AV;;;;
6;Assign Sterilization Machine;2022-01-01 09:36:00;2022-01-01 09:36:00;2022-01-01 09:40:08;Usuario_AV;6;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
6;INTRUM;2022-01-01 09:40:08;2022-01-01 10:39:41;2022-01-01 11:59:41;Autoclave_#0;3;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
6;Free Sterilization Machine;2022-01-01 11:59:41;2022-01-01 11:59:41;2022-01-01 12:01:47;Usuario_AV;4;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
7;Scan Entered Kit;2022-01-01 07:19:42;2022-01-01 07:21:29;2022-01-01 07:27:50;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
7;Put on Rack;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:27:50;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
7;Assign Washing Machine;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:33:26;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
7;Instrumental normal;2022-01-01 07:33:26;2022-01-01 07:33:26;2022-01-01 08:43:26;Lavadora_#0;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
7;Free Washing Machine;2022-01-01 08:43:26;2022-01-01 08:43:59;2022-01-01 09:14:05;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
7;Assembly;2022-01-01 09:14:05;2022-01-01 09:14:05;2022-01-01 09:22:08;Usuario_AV;;;;
7;Assign Sterilization Machine;2022-01-01 09:22:08;2022-01-01 09:22:08;2022-01-01 09:24:17;Usuario_AV;4;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
7;INTRUM;2022-01-01 09:24:17;2022-01-01 09:24:17;2022-01-01 10:44:17;Autoclave_#2;2;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
7;Free Sterilization Machine;2022-01-01 10:44:17;2022-01-01 10:48:57;2022-01-01 10:53:21;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
8;Scan Entered Kit;2022-01-01 07:20:43;2022-01-01 07:21:29;2022-01-01 07:27:50;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
8;Put on Rack;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:27:50;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
8;Assign Washing Machine;2022-01-01 07:27:50;2022-01-01 07:27:50;2022-01-01 07:33:26;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
8;Instrumental normal;2022-01-01 07:33:26;2022-01-01 07:33:26;2022-01-01 08:43:26;Lavadora_#0;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
8;Free Washing Machine;2022-01-01 08:43:26;2022-01-01 08:43:59;2022-01-01 09:14:05;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
8;Assembly;2022-01-01 09:14:05;2022-01-01 09:17:09;2022-01-01 10:05:10;Usuario_AV;;;;
8;Assign Sterilization Machine;2022-01-01 10:05:10;2022-01-01 10:05:10;2022-01-01 10:10:02;Usuario_AV;12;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
8;PRIONES;2022-01-01 10:10:02;2022-01-01 11:04:41;2022-01-01 12:49:41;Autoclave_#1;3;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
8;Free Sterilization Machine;2022-01-01 12:49:41;2022-01-01 12:50:13;2022-01-01 12:52:54;Usuario_AV;7;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
9;Scan Entered Kit;2022-01-01 07:30:10;2022-01-01 07:33:26;2022-01-01 07:52:29;Usuario_AV;3;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
9;Put on Rack;2022-01-01 07:52:29;2022-01-01 07:52:29;2022-01-01 07:52:29;Usuario_AV;4;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
9;Assign Washing Machine;2022-01-01 07:52:29;2022-01-01 07:52:29;2022-01-01 07:57:31;Usuario_AV;3;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
9;Instrumental normal;2022-01-01 07:57:31;2022-01-01 07:57:31;2022-01-01 09:07:31;Lavadora_#2;4;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
9;Free Washing Machine;2022-01-01 09:07:31;2022-01-01 09:14:05;2022-01-01 09:17:09;Usuario_AV;4;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
9;Assembly;2022-01-01 09:17:09;2022-01-01 09:17:09;2022-01-01 09:21:49;Usuario_AV;;;;
9;Assign Sterilization Machine;2022-01-01 09:21:49;2022-01-01 09:21:49;2022-01-01 09:26:51;Usuario_AV;3;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
